Andes_mts	place	no-ana	note	P1_C1_lg14	Andes_mts	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	Quito	place	no-ana
Andes_mts	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Earth_planet	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Memnon	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Andes_mts	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Quito	place	no-ana
Quito	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Earth_planet	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	the_Sun	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Memnon	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Andes_mts	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Quito	place	no-ana
Bologna	place	no-ana	note	P1_C1_lg14	Bologna	place	no-ana
Surinam_river	place	no-ana	note	P1_C1_lg15	Surinam_river	place	no-ana
Surinam_river	place	no-ana	note	P1_C1_lg15	South America	place	no-ana
Surinam_river	place	no-ana	note	P1_C1_lg15	England	place	no-ana
Surinam_river	place	no-ana	note	P1_C1_lg15	Florence	place	no-ana
South America	place	no-ana	note	P1_C1_lg15	Surinam_river	place	no-ana
South America	place	no-ana	note	P1_C1_lg15	South America	place	no-ana
South America	place	no-ana	note	P1_C1_lg15	England	place	no-ana
South America	place	no-ana	note	P1_C1_lg15	Florence	place	no-ana
England	place	no-ana	note	P1_C1_lg15	Surinam_river	place	no-ana
England	place	no-ana	note	P1_C1_lg15	South America	place	no-ana
England	place	no-ana	note	P1_C1_lg15	England	place	no-ana
England	place	no-ana	note	P1_C1_lg15	Florence	place	no-ana
Florence	place	no-ana	note	P1_C1_lg15	Surinam_river	place	no-ana
Florence	place	no-ana	note	P1_C1_lg15	South America	place	no-ana
Florence	place	no-ana	note	P1_C1_lg15	England	place	no-ana
Florence	place	no-ana	note	P1_C1_lg15	Florence	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Borneo	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Sumatra	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Otaheite	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Europe	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Americas	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Egypt	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Borneo	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Sumatra	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Otaheite	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Europe	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Americas	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Egypt	place	no-ana
Greece	place	no-ana	note	P1_C1_lg16	Greece	place	no-ana
Worcester	place	no-ana	note	P1_C1_lg19	Worcester	place	no-ana
Worcester	place	no-ana	note	P1_C1_lg19	Dartmouth	place	no-ana
Worcester	place	no-ana	note	P1_C1_lg19	Glasgow	place	no-ana
Worcester	place	no-ana	note	P1_C1_lg19	Birmingham	place	no-ana
Dartmouth	place	no-ana	note	P1_C1_lg19	Worcester	place	no-ana
Dartmouth	place	no-ana	note	P1_C1_lg19	Dartmouth	place	no-ana
Dartmouth	place	no-ana	note	P1_C1_lg19	Glasgow	place	no-ana
Dartmouth	place	no-ana	note	P1_C1_lg19	Birmingham	place	no-ana
Glasgow	place	no-ana	note	P1_C1_lg19	Worcester	place	no-ana
Glasgow	place	no-ana	note	P1_C1_lg19	Dartmouth	place	no-ana
Glasgow	place	no-ana	note	P1_C1_lg19	Glasgow	place	no-ana
Glasgow	place	no-ana	note	P1_C1_lg19	Birmingham	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg19	Worcester	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg19	Dartmouth	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg19	Glasgow	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg19	Birmingham	place	no-ana
Britain	place	no-ana	main	P1_C1_lg21	Britain	place	no-ana
Britain	place	no-ana	main	P1_C1_lg21	Anglesey	place	no-ana
Britain	place	no-ana	main	P1_C1_lg21	Soho	place	no-ana
Britain	place	no-ana	main	P1_C1_lg21	Birmingham	place	no-ana
Anglesey	place	no-ana	note	P1_C1_lg21	Britain	place	no-ana
Anglesey	place	no-ana	note	P1_C1_lg21	Anglesey	place	no-ana
Anglesey	place	no-ana	note	P1_C1_lg21	Soho	place	no-ana
Anglesey	place	no-ana	note	P1_C1_lg21	Birmingham	place	no-ana
Soho	place	no-ana	note	P1_C1_lg21	Britain	place	no-ana
Soho	place	no-ana	note	P1_C1_lg21	Anglesey	place	no-ana
Soho	place	no-ana	note	P1_C1_lg21	Soho	place	no-ana
Soho	place	no-ana	note	P1_C1_lg21	Birmingham	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg21	Britain	place	no-ana
Birmingham	place	no-ana	note	P1_C1_lg21	Anglesey	place	no-ana
