"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"68030","2.372","0.0","0.42158516","1.0","place","place","32","5","false","Brazil","29.54545455","32","0","11","0.77133333","false","2","Brazil","0","0.18818761"
"68031","2.372","0.0","0.42158516","1.0","place","place","16","5","false","Santa Marta","29.54545455","16","0","5","0.77133333","false","0","Santa Marta","0","0.18818761"
"68032","2.372","0.0","0.42158516","1.0","place","place","16","5","false","Peru","29.54545455","16","0","5","0.77133333","false","0","Peru","0","0.18818761"
"68033","2.372","0.0","0.42158516","1.0","place","place","32","5","false","Java","29.54545455","32","0","11","0.77133333","false","2","Java","0","0.18818761"
"68034","3.296","0.0","0.30339806","1.0","place","place","6","4","false","Zinzenam","10.66666667","6","0","1","0.61733333","false","0","Zinzenam","0","0.50793651"
"68035","2.556","0.00493493","0.39123631","0.42857143","place","place","31","4","false","land_of_snow","24.625","31","0","4","0.74066667","false","12","land_of_snow","2648","0.21986607"
"68036","2.588","0.00446455","0.38639876","0.51111111","metaplace","metaplace","15","5","false","Laila_zone","22.3","15","0","3","0.73533333","false","2","Laila_zone","2330","0.19734513"
"68037","3.048","0.0","0.32808399","1.0","place","place","6","6","false","Madrid","13.83333333","6","0","0","0.65866667","false","0","Madrid","0","0.28231293"
"68038","3.048","0.0","0.32808399","1.0","place","place","6","6","false","Lincoln","13.83333333","6","0","0","0.65866667","false","0","Lincoln","0","0.28231293"
"68039","3.048","0.0","0.32808399","1.0","place","place","6","6","false","Avilla","13.83333333","6","0","0","0.65866667","false","0","Avilla","0","0.28231293"
"68040","3.048","0.0","0.32808399","1.0","place","place","6","6","false","Venice","13.83333333","6","0","0","0.65866667","false","0","Venice","0","0.28231293"
"68041","2.712","0.0","0.36873156","1.0","metaplace","metaplace","4","6","false","the seventh Heaven","38.25","4","0","0","0.71466667","false","0","the seventh Heaven","0","0.40691489"
"68042","2.712","0.0","0.36873156","1.0","metaplace","metaplace","4","6","false","the Seventh Heaven","38.25","4","0","0","0.71466667","false","0","the Seventh Heaven","0","0.40691489"
"68043","2.652","0.0","0.37707391","1.0","place","place","6","6","false","Aix la Chapelle","58.5","6","0","2","0.72466667","false","0","Aix la Chapelle","0","0.52232143"
"68044","3.084","0.0","0.32425422","1.0","place","place","13","5","false","Cook's Folly near Bristol","10.22222222","13","0","4","0.65266667","false","0","Cook's Folly near Bristol","0","0.51111111"
"68045","3.084","0.0","0.32425422","1.0","place","place","13","5","false","Bristol","10.22222222","13","0","4","0.65266667","false","0","Bristol","0","0.51111111"
"68046","3.084","0.0","0.32425422","1.0","place","place","24","5","false","South-Seas","10.22222222","24","0","9","0.65266667","false","0","South-Seas","0","0.51111111"
"68047","3.084","0.0","0.32425422","1.0","place","place","13","5","false","Cheapo","10.22222222","13","0","4","0.65266667","false","0","Cheapo","0","0.51111111"
"68048","3.084","0.0","0.32425422","1.0","place","place","24","5","false","Portobel","10.22222222","24","0","9","0.65266667","false","0","Portobel","0","0.51111111"
"68049","3.084","0.0","0.32425422","1.0","place","place","13","5","false","Carthagena","10.22222222","13","0","4","0.65266667","false","0","Carthagena","0","0.51111111"
"68050","3.084","0.0","0.32425422","1.0","place","place","13","5","false","Panama","10.22222222","13","0","4","0.65266667","false","0","Panama","0","0.51111111"
"68051","3.084","0.0","0.32425422","1.0","place","place","26","5","false","West_Indies","10.22222222","26","0","9","0.65266667","false","2","West_Indies","0","0.51111111"
"68052","2.672","0.0","0.3742515","1.0","place","place","6","6","false","Otaheite","33.5","6","0","2","0.72133333","false","0","Otaheite","0","0.32211538"
"68053","2.672","0.0","0.3742515","1.0","metaplace","metaplace","6","6","false","The Grave of Francisco Jorge","33.5","6","0","2","0.72133333","false","0","The Grave of Francisco Jorge","0","0.32211538"
"68054","2.68","0.0","0.37313433","1.0","place","place","8","6","false","Nazareth","28.83333333","8","0","1","0.72","false","0","Nazareth","0","0.28547855"
"68055","2.68","0.0","0.37313433","1.0","place","place","8","6","false","Illyricum","28.83333333","8","0","1","0.72","false","0","Illyricum","0","0.28547855"
"68056","2.68","0.0","0.37313433","1.0","place","place","8","6","false","Italy","28.83333333","8","0","1","0.72","false","0","Italy","0","0.28547855"
"68057","2.68","0.0","0.37313433","1.0","place","place","8","6","false","Urbe Malipuritana","28.83333333","8","0","1","0.72","false","0","Urbe Malipuritana","0","0.28547855"
"68058","2.74","0.0","0.3649635","1.0","place","place","9","6","false","Ocean-Vault","32.25","9","0","3","0.71","false","0","Ocean-Vault","0","0.36647727"
"68059","2.68","0.0","0.37313433","1.0","metaplace","metaplace","7","6","false","Under_Ocean","38.75","7","0","1","0.72","false","0","Under_Ocean","0","0.37990196"
"68060","2.82","0.0","0.35460993","1.0","place","place","4","5","false","river","24.33333333","4","0","1","0.69666667","false","0","river","0","0.42690058"
"68061","2.808","0.0","0.35612536","1.0","metaplace","metaplace","3","6","false","The Upas Tree of Death","32.66666667","3","0","0","0.69866667","false","0","The Upas Tree of Death","0","0.40833333"
"68062","3.26","0.0","0.30674847","0.0","metaplace","metaplace","1","6","false","the throne of God","27.0","1","0","0","0.62333333","false","0","the throne of God","0","0.0"
"68063","2.804","0.0","0.35663338","1.0","metaplace","metaplace","33","6","false","Al-Araf","26.75","33","0","4","0.69933333","false","6","Al-Araf","0","0.35666667"
"68064","2.804","0.0","0.35663338","1.0","metaplace","metaplace","11","6","false","Purgatory","26.75","11","0","4","0.69933333","false","0","Purgatory","0","0.35666667"
